EmployeeNumber,Age,Age_group,Attrition,Attrition_flag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Salary_slab,MonthlyRate,NumCompaniesWorked,OverTime,OverTime_flag,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,Tenure_Group,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1061,50,50+,No,0,Travel_Rarely,1464,Research & Development,2,4,Medical,2,Male,62,3,5,Research Director,3,Married,19237,High,12853,2,Yes,1,11,3,4,1,29,10+,2,2,8,1,7,7
1062,37,30-40,No,0,Travel_Rarely,124,Research & Development,3,3,Other,4,Female,35,3,2,Healthcare Representative,2,Single,4107,Low,13848,3,No,0,15,3,1,0,8,6-10,3,2,4,3,0,1
1066,40,40-50,No,0,Travel_Rarely,300,Sales,26,3,Marketing,3,Male,74,3,2,Sales Executive,1,Married,8396,Medium,22217,1,No,0,14,3,2,1,8,6-10,3,2,7,7,7,5
1068,26,20-30,No,0,Travel_Frequently,921,Research & Development,1,1,Medical,1,Female,66,2,1,Research Scientist,3,Divorced,2007,Low,25265,1,No,0,13,3,3,2,5,3-5,5,3,5,3,1,3
1069,46,40-50,No,0,Travel_Rarely,430,Research & Development,1,4,Medical,4,Male,40,3,5,Research Director,4,Divorced,19627,High,21445,9,No,0,17,3,4,2,23,10+,0,3,2,2,2,2
1070,54,50+,No,0,Travel_Rarely,1082,Sales,2,4,Life Sciences,3,Female,41,2,3,Sales Executive,3,Married,10686,High,8392,6,No,0,11,3,2,1,13,10+,4,3,9,4,7,0
1071,56,50+,No,0,Travel_Frequently,1240,Research & Development,9,3,Medical,1,Female,63,3,1,Research Scientist,3,Married,2942,Low,12154,2,No,0,19,3,2,1,18,10+,4,3,5,4,0,3
1073,36,30-40,No,0,Travel_Rarely,796,Research & Development,12,5,Medical,4,Female,51,2,3,Manufacturing Director,4,Single,8858,Medium,15669,0,No,0,11,3,2,0,15,10+,2,2,14,8,7,8
1074,55,50+,No,0,Non-Travel,444,Research & Development,2,1,Medical,3,Male,40,2,4,Manager,1,Single,16756,High,17323,7,No,0,15,3,2,0,31,10+,3,4,9,7,6,2
1076,43,40-50,No,0,Travel_Rarely,415,Sales,25,3,Medical,3,Male,79,2,3,Sales Executive,4,Divorced,10798,High,5268,5,No,0,13,3,3,1,18,10+,5,3,1,0,0,0
1077,20,20-30,Yes,1,Travel_Frequently,769,Sales,9,3,Marketing,4,Female,54,3,1,Sales Representative,4,Single,2323,Low,17205,1,Yes,1,14,3,2,0,2,0-2,3,3,2,2,0,2
1079,21,20-30,Yes,1,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,3,Female,36,2,1,Laboratory Technician,1,Single,1416,Low,17258,1,No,0,13,3,1,0,1,0-2,6,2,1,0,1,0
1080,46,40-50,No,0,Travel_Rarely,1003,Research & Development,8,4,Life Sciences,4,Female,74,2,2,Research Scientist,1,Divorced,4615,Low,21029,8,Yes,1,23,4,1,3,19,10+,2,3,16,13,1,7
1081,51,50+,Yes,1,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,Male,34,3,1,Research Scientist,3,Married,2461,Low,10332,9,Yes,1,12,3,3,3,18,10+,2,4,10,0,2,7
1082,28,20-30,Yes,1,Non-Travel,1366,Research & Development,24,2,Technical Degree,2,Male,72,2,3,Healthcare Representative,1,Single,8722,Medium,12355,1,No,0,12,3,1,0,10,6-10,2,2,10,7,1,9
1083,26,20-30,No,0,Travel_Rarely,192,Research & Development,1,2,Medical,1,Male,59,2,1,Laboratory Technician,1,Married,3955,Low,11141,1,No,0,16,3,1,2,6,6-10,2,3,5,3,1,3
1084,30,30-40,No,0,Travel_Rarely,1176,Research & Development,20,3,Other,3,Male,85,3,2,Manufacturing Director,1,Married,9957,Medium,9096,0,No,0,15,3,3,1,7,6-10,1,2,6,2,0,2
1085,41,40-50,No,0,Travel_Rarely,509,Research & Development,7,2,Technical Degree,2,Female,43,4,1,Research Scientist,3,Married,3376,Low,18863,1,No,0,13,3,3,0,10,6-10,3,3,10,6,0,8
1088,38,30-40,No,0,Travel_Rarely,330,Research & Development,17,1,Life Sciences,3,Female,65,2,3,Healthcare Representative,3,Married,8823,Medium,24608,0,No,0,18,3,1,1,20,10+,4,2,19,9,1,9
1092,40,40-50,No,0,Travel_Rarely,1492,Research & Development,20,4,Technical Degree,1,Male,61,3,3,Healthcare Representative,4,Married,10322,High,26542,4,No,0,20,4,4,1,14,10+,6,3,11,10,11,1
1094,27,20-30,No,0,Non-Travel,1277,Research & Development,8,5,Life Sciences,1,Male,87,1,1,Laboratory Technician,3,Married,4621,Low,5869,1,No,0,19,3,4,3,3,3-5,4,3,3,2,1,2
1096,55,50+,No,0,Travel_Frequently,1091,Research & Development,2,1,Life Sciences,4,Male,65,3,3,Manufacturing Director,2,Married,10976,High,15813,3,No,0,18,3,2,1,23,10+,4,3,3,2,1,2
1097,28,20-30,No,0,Travel_Rarely,857,Research & Development,10,3,Other,3,Female,59,3,2,Research Scientist,3,Single,3660,Low,7909,3,No,0,13,3,4,0,10,6-10,4,4,8,7,1,7
1098,44,40-50,Yes,1,Travel_Rarely,1376,Human Resources,1,2,Medical,2,Male,91,2,3,Human Resources,1,Married,10482,High,2326,9,No,0,14,3,4,1,24,10+,1,3,20,6,3,6
1099,33,30-40,No,0,Travel_Rarely,654,Research & Development,5,3,Life Sciences,4,Male,34,2,3,Healthcare Representative,4,Divorced,7119,Medium,21214,4,No,0,15,3,3,1,9,6-10,2,3,3,2,1,2
1100,35,30-40,Yes,1,Travel_Rarely,1204,Sales,4,3,Technical Degree,4,Male,86,3,3,Sales Executive,1,Single,9582,Medium,10333,0,Yes,1,22,4,1,0,9,6-10,2,3,8,7,4,7
1101,33,30-40,Yes,1,Travel_Frequently,827,Research & Development,29,4,Medical,1,Female,54,2,2,Research Scientist,3,Single,4508,Low,3129,1,No,0,22,4,2,0,14,10+,4,3,13,7,3,8
1102,28,20-30,No,0,Travel_Rarely,895,Research & Development,15,2,Life Sciences,1,Male,50,3,1,Laboratory Technician,3,Divorced,2207,Low,22482,1,No,0,16,3,4,1,4,3-5,5,2,4,2,2,2
1103,34,30-40,No,0,Travel_Frequently,618,Research & Development,3,1,Life Sciences,1,Male,45,3,2,Healthcare Representative,4,Single,7756,Medium,22266,0,No,0,17,3,3,0,7,6-10,1,2,6,2,0,4
1105,37,30-40,No,0,Travel_Rarely,309,Sales,10,4,Life Sciences,4,Female,88,2,2,Sales Executive,4,Divorced,6694,Medium,24223,2,Yes,1,14,3,3,3,8,6-10,5,3,1,0,0,0
1106,25,20-30,Yes,1,Travel_Rarely,1219,Research & Development,4,1,Technical Degree,4,Male,32,3,1,Laboratory Technician,4,Married,3691,Low,4605,1,Yes,1,15,3,2,1,7,6-10,3,4,7,7,5,6
1107,26,20-30,Yes,1,Travel_Rarely,1330,Research & Development,21,3,Medical,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,Low,19373,1,No,0,20,4,3,1,1,0-2,0,2,1,1,0,0
1108,33,30-40,Yes,1,Travel_Rarely,1017,Research & Development,25,3,Medical,1,Male,55,2,1,Research Scientist,2,Single,2313,Low,2993,4,Yes,1,20,4,2,0,5,3-5,0,3,2,2,2,2
1109,42,40-50,No,0,Travel_Rarely,469,Research & Development,2,2,Medical,4,Male,35,3,4,Manager,1,Married,17665,High,14399,0,No,0,17,3,4,1,23,10+,3,3,22,6,13,7
1111,28,20-30,Yes,1,Travel_Frequently,1009,Research & Development,1,3,Medical,1,Male,45,2,1,Laboratory Technician,2,Divorced,2596,Low,7160,1,No,0,15,3,1,2,1,0-2,2,3,1,0,0,0
1113,50,50+,Yes,1,Travel_Frequently,959,Sales,1,4,Other,4,Male,81,3,2,Sales Executive,3,Single,4728,Low,17251,3,Yes,1,14,3,4,0,5,3-5,4,3,0,0,0,0
1114,33,30-40,No,0,Travel_Frequently,970,Sales,7,3,Life Sciences,4,Female,30,3,2,Sales Executive,2,Married,4302,Low,13401,0,No,0,17,3,3,1,4,3-5,3,3,3,2,0,2
1115,34,30-40,No,0,Non-Travel,697,Research & Development,3,4,Life Sciences,3,Male,40,2,1,Research Scientist,4,Married,2979,Low,22478,3,No,0,17,3,4,3,6,6-10,2,3,0,0,0,0
1116,48,40-50,No,0,Non-Travel,1262,Research & Development,1,4,Medical,1,Male,35,4,4,Manager,4,Single,16885,High,16154,2,No,0,22,4,3,0,27,10+,3,2,5,4,2,1
1117,45,40-50,No,0,Non-Travel,1050,Sales,9,4,Life Sciences,2,Female,65,2,2,Sales Executive,3,Married,5593,Medium,17970,1,No,0,13,3,4,1,15,10+,2,3,15,10,4,12
1118,52,50+,No,0,Travel_Rarely,994,Research & Development,7,4,Life Sciences,2,Male,87,3,3,Healthcare Representative,2,Single,10445,High,15322,7,No,0,19,3,4,0,18,10+,4,3,8,6,4,0
1119,38,30-40,No,0,Travel_Rarely,770,Sales,10,4,Marketing,3,Male,73,2,3,Sales Executive,3,Divorced,8740,Medium,5569,0,Yes,1,14,3,2,2,9,6-10,2,3,8,7,2,7
1120,29,20-30,No,0,Travel_Rarely,1107,Research & Development,28,4,Life Sciences,3,Female,93,3,1,Research Scientist,4,Divorced,2514,Low,26968,4,No,0,22,4,1,1,11,10+,1,3,7,5,1,7
1121,28,20-30,No,0,Travel_Rarely,950,Research & Development,3,3,Medical,4,Female,93,3,3,Manufacturing Director,2,Divorced,7655,Medium,8039,0,No,0,17,3,2,3,10,6-10,3,2,9,7,1,7
1124,46,40-50,No,0,Travel_Rarely,406,Sales,3,1,Marketing,1,Male,52,3,4,Manager,3,Married,17465,High,15596,3,No,0,12,3,4,1,23,10+,3,3,12,9,4,9
1125,38,30-40,No,0,Travel_Rarely,130,Sales,2,2,Marketing,4,Male,32,3,3,Sales Executive,2,Single,7351,Medium,20619,7,No,0,16,3,3,0,10,6-10,2,3,1,0,0,0
1126,43,40-50,No,0,Travel_Frequently,1082,Research & Development,27,3,Life Sciences,3,Female,83,3,3,Manufacturing Director,1,Married,10820,High,11535,8,No,0,11,3,3,1,18,10+,1,3,8,7,0,1
1127,39,30-40,Yes,1,Travel_Frequently,203,Research & Development,2,3,Life Sciences,1,Male,84,3,4,Healthcare Representative,4,Divorced,12169,High,13547,7,No,0,11,3,4,3,21,10+,4,3,18,7,11,5
1128,40,40-50,No,0,Travel_Rarely,1308,Research & Development,14,3,Medical,3,Male,44,2,5,Research Director,3,Single,19626,High,17544,1,No,0,14,3,1,0,21,10+,2,4,20,7,4,9
1131,21,20-30,No,0,Travel_Rarely,984,Research & Development,1,1,Technical Degree,4,Female,70,2,1,Research Scientist,2,Single,2070,Low,25326,1,Yes,1,11,3,3,0,2,0-2,6,4,2,2,2,2
1132,39,30-40,No,0,Non-Travel,439,Research & Development,9,3,Life Sciences,3,Male,70,3,2,Laboratory Technician,2,Single,6782,Medium,8770,9,No,0,15,3,3,0,9,6-10,2,2,5,4,0,3
1133,36,30-40,No,0,Non-Travel,217,Research & Development,18,4,Life Sciences,1,Male,78,3,2,Manufacturing Director,4,Single,7779,Medium,23238,2,No,0,20,4,1,0,18,10+,0,3,11,9,0,9
1135,31,30-40,No,0,Travel_Frequently,793,Sales,20,3,Life Sciences,3,Male,67,4,1,Sales Representative,4,Married,2791,Low,21981,0,No,0,12,3,1,1,3,3-5,4,3,2,2,2,2
1136,28,20-30,No,0,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,Male,67,2,1,Research Scientist,2,Married,3201,Low,19911,0,No,0,17,3,1,0,6,6-10,2,1,5,3,0,4
1137,35,30-40,No,0,Travel_Frequently,1182,Sales,11,2,Marketing,4,Male,54,3,2,Sales Executive,4,Divorced,4968,Low,18500,1,No,0,11,3,4,1,5,3-5,3,3,5,2,0,2
1138,49,40-50,No,0,Travel_Rarely,174,Sales,8,4,Technical Degree,4,Male,56,2,4,Sales Executive,2,Married,13120,High,11879,6,No,0,17,3,2,1,22,10+,3,3,9,8,2,3
1140,34,30-40,No,0,Travel_Frequently,1003,Research & Development,2,2,Life Sciences,4,Male,95,3,2,Manufacturing Director,3,Single,4033,Low,15834,2,No,0,11,3,4,0,5,3-5,3,2,3,2,0,2
1143,29,20-30,No,0,Travel_Frequently,490,Research & Development,10,3,Life Sciences,4,Female,61,3,1,Research Scientist,2,Divorced,3291,Low,17940,0,No,0,14,3,4,2,8,6-10,2,2,7,5,1,1
1148,42,40-50,No,0,Travel_Rarely,188,Research & Development,29,3,Medical,2,Male,56,1,2,Laboratory Technician,4,Single,4272,Low,9558,4,No,0,19,3,1,0,16,10+,3,3,1,0,0,0
1150,29,20-30,No,0,Travel_Rarely,718,Research & Development,8,1,Medical,2,Male,79,2,2,Manufacturing Director,4,Married,5056,Medium,17689,1,Yes,1,15,3,3,1,10,6-10,2,2,10,7,1,2
1152,38,30-40,No,0,Travel_Rarely,433,Human Resources,1,3,Human Resources,3,Male,37,4,1,Human Resources,3,Married,2844,Low,6004,1,No,0,13,3,4,1,7,6-10,2,4,7,6,5,0
1154,28,20-30,No,0,Travel_Frequently,773,Research & Development,6,3,Life Sciences,3,Male,39,2,1,Research Scientist,3,Divorced,2703,Low,22088,1,Yes,1,14,3,4,1,3,3-5,2,3,3,1,0,2
1156,18,20-30,Yes,1,Non-Travel,247,Research & Development,8,1,Medical,3,Male,80,3,1,Laboratory Technician,3,Single,1904,Low,13556,1,No,0,12,3,4,0,0,0-2,0,3,0,0,0,0
1157,33,30-40,Yes,1,Travel_Rarely,603,Sales,9,4,Marketing,1,Female,77,3,2,Sales Executive,1,Single,8224,Medium,18385,0,Yes,1,17,3,1,0,6,6-10,3,3,5,2,0,3
1158,41,40-50,No,0,Travel_Rarely,167,Research & Development,12,4,Life Sciences,2,Male,46,3,1,Laboratory Technician,4,Married,4766,Low,9051,3,Yes,1,11,3,1,1,6,6-10,4,3,1,0,0,0
1160,31,30-40,Yes,1,Travel_Frequently,874,Research & Development,15,3,Medical,3,Male,72,3,1,Laboratory Technician,3,Married,2610,Low,6233,1,No,0,12,3,3,1,2,0-2,5,2,2,2,2,2
1161,37,30-40,No,0,Travel_Rarely,367,Research & Development,25,2,Medical,3,Female,52,2,2,Healthcare Representative,4,Divorced,5731,Medium,17171,7,No,0,13,3,3,2,9,6-10,2,3,6,2,1,3
1162,27,20-30,No,0,Travel_Rarely,199,Research & Development,6,3,Life Sciences,4,Male,55,2,1,Research Scientist,3,Married,2539,Low,7950,1,No,0,13,3,3,1,4,3-5,0,3,4,2,2,2
1163,34,30-40,No,0,Travel_Rarely,1400,Sales,9,1,Life Sciences,2,Female,70,3,2,Sales Executive,3,Married,5714,Medium,5829,1,No,0,20,4,1,0,6,6-10,3,2,6,5,1,3
1164,35,30-40,No,0,Travel_Rarely,528,Human Resources,8,4,Technical Degree,3,Male,100,3,1,Human Resources,3,Single,4323,Low,7108,1,No,0,17,3,2,0,6,6-10,2,1,5,4,1,4
1165,29,20-30,Yes,1,Travel_Rarely,408,Sales,23,1,Life Sciences,4,Female,45,2,3,Sales Executive,1,Married,7336,Medium,11162,1,No,0,13,3,1,1,11,10+,3,1,11,8,3,10
1166,40,40-50,No,0,Travel_Frequently,593,Research & Development,9,4,Medical,2,Female,88,3,3,Research Director,3,Single,13499,High,13782,9,No,0,17,3,3,0,20,10+,3,2,18,7,2,13
1167,42,40-50,Yes,1,Travel_Frequently,481,Sales,12,3,Life Sciences,3,Male,44,3,4,Sales Executive,1,Single,13758,High,2447,0,Yes,1,12,3,2,0,22,10+,2,2,21,9,13,14
1171,42,40-50,No,0,Travel_Rarely,647,Sales,4,4,Marketing,2,Male,45,3,2,Sales Executive,1,Single,5155,Medium,2253,7,No,0,13,3,4,0,9,6-10,3,4,6,4,1,5
1172,35,30-40,No,0,Travel_Rarely,982,Research & Development,1,4,Medical,4,Male,58,2,1,Laboratory Technician,3,Married,2258,Low,16340,6,No,0,12,3,2,1,10,6-10,2,3,8,0,1,7
1173,24,20-30,No,0,Travel_Rarely,477,Research & Development,24,3,Medical,4,Male,49,3,1,Laboratory Technician,2,Single,3597,Low,6409,8,No,0,22,4,4,0,6,6-10,2,3,4,3,1,2
1175,28,20-30,Yes,1,Travel_Rarely,1485,Research & Development,12,1,Life Sciences,3,Female,79,3,1,Laboratory Technician,4,Married,2515,Low,22955,1,Yes,1,11,3,4,0,1,0-2,4,2,1,1,0,0
1177,26,20-30,No,0,Travel_Rarely,1384,Research & Development,3,4,Medical,1,Male,82,4,1,Laboratory Technician,4,Married,4420,Low,13421,1,No,0,22,4,2,1,8,6-10,2,3,8,7,0,7
1179,30,30-40,No,0,Travel_Rarely,852,Sales,10,3,Marketing,3,Male,72,2,2,Sales Executive,3,Married,6578,Medium,2706,1,No,0,18,3,1,1,10,6-10,3,3,10,3,1,4
1180,40,40-50,No,0,Travel_Frequently,902,Research & Development,26,2,Medical,3,Female,92,2,2,Research Scientist,4,Married,4422,Low,21203,3,Yes,1,13,3,4,1,16,10+,3,1,1,1,0,0
1182,35,30-40,No,0,Travel_Rarely,819,Research & Development,2,3,Life Sciences,3,Male,44,2,3,Manufacturing Director,2,Divorced,10274,High,19588,2,No,0,18,3,2,1,15,10+,2,4,7,7,6,4
1184,34,30-40,No,0,Travel_Frequently,669,Research & Development,1,3,Medical,4,Male,97,2,2,Healthcare Representative,1,Single,5343,Medium,25755,0,No,0,20,4,3,0,14,10+,3,3,13,9,4,9
1185,35,30-40,No,0,Travel_Frequently,636,Research & Development,4,4,Other,4,Male,47,2,1,Laboratory Technician,4,Married,2376,Low,26537,1,No,0,13,3,2,1,2,0-2,2,4,2,2,2,2
1188,43,40-50,Yes,1,Travel_Rarely,1372,Sales,9,3,Marketing,1,Female,85,1,2,Sales Executive,3,Single,5346,Medium,9489,8,No,0,13,3,2,0,7,6-10,2,2,4,3,1,3
1190,32,30-40,No,0,Non-Travel,862,Sales,2,1,Life Sciences,3,Female,76,3,1,Sales Representative,1,Divorced,2827,Low,14947,1,No,0,12,3,3,3,1,0-2,3,3,1,0,0,0
1191,56,50+,No,0,Travel_Rarely,718,Research & Development,4,4,Technical Degree,4,Female,92,3,5,Manager,1,Divorced,19943,High,18575,4,No,0,13,3,4,1,28,10+,2,3,5,2,4,2
1192,29,20-30,No,0,Travel_Rarely,1401,Research & Development,6,1,Medical,2,Female,54,3,1,Laboratory Technician,4,Married,3131,Low,26342,1,No,0,13,3,1,1,10,6-10,5,3,10,8,0,8
1193,19,20-30,No,0,Travel_Rarely,645,Research & Development,9,2,Life Sciences,3,Male,54,3,1,Research Scientist,1,Single,2552,Low,7172,1,No,0,25,4,3,0,1,0-2,4,3,1,1,0,0
1195,45,40-50,No,0,Travel_Rarely,1457,Research & Development,7,3,Medical,1,Female,83,3,1,Research Scientist,3,Married,4477,Low,20100,4,Yes,1,19,3,3,1,7,6-10,2,2,3,2,0,2
1196,37,30-40,No,0,Travel_Rarely,977,Research & Development,1,3,Life Sciences,4,Female,56,2,2,Manufacturing Director,4,Married,6474,Medium,9961,1,No,0,13,3,2,1,14,10+,2,2,14,8,3,11
1198,20,20-30,No,0,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,Male,87,2,1,Laboratory Technician,3,Single,3033,Low,12828,1,No,0,12,3,1,0,2,0-2,2,2,2,2,1,2
1200,44,40-50,Yes,1,Travel_Rarely,1097,Research & Development,10,4,Life Sciences,3,Male,96,3,1,Research Scientist,3,Single,2936,Low,10826,1,Yes,1,11,3,3,0,6,6-10,4,3,6,4,0,2
1201,53,50+,No,0,Travel_Rarely,1223,Research & Development,7,2,Medical,4,Female,50,3,5,Manager,3,Divorced,18606,High,18640,3,No,0,18,3,2,1,26,10+,6,3,7,7,4,7
1202,29,20-30,No,0,Travel_Rarely,942,Research & Development,15,1,Life Sciences,2,Female,69,1,1,Research Scientist,4,Married,2168,Low,26933,0,Yes,1,18,3,1,1,6,6-10,2,2,5,4,1,3
1203,22,20-30,Yes,1,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,3,Male,48,2,1,Research Scientist,4,Married,2853,Low,4223,0,Yes,1,11,3,2,1,1,0-2,5,3,0,0,0,0
1204,46,40-50,No,0,Travel_Rarely,1402,Sales,2,3,Marketing,3,Female,69,3,4,Manager,1,Married,17048,High,24097,8,No,0,23,4,1,0,28,10+,2,3,26,15,15,9
1206,44,40-50,No,0,Non-Travel,111,Research & Development,17,3,Life Sciences,4,Male,74,1,1,Research Scientist,3,Single,2290,Low,4279,2,No,0,13,3,4,0,6,6-10,3,3,0,0,0,0
1207,33,30-40,No,0,Travel_Rarely,147,Human Resources,2,3,Human Resources,2,Male,99,3,1,Human Resources,3,Married,3600,Low,8429,1,No,0,13,3,4,1,5,3-5,2,3,5,4,1,4
1210,41,40-50,Yes,1,Non-Travel,906,Research & Development,5,2,Life Sciences,1,Male,95,2,1,Research Scientist,1,Divorced,2107,Low,20293,6,No,0,17,3,1,1,5,3-5,2,1,1,0,0,0
1211,30,30-40,No,0,Travel_Rarely,1329,Sales,29,4,Life Sciences,3,Male,61,3,2,Sales Executive,1,Divorced,4115,Low,13192,8,No,0,19,3,3,3,8,6-10,3,3,4,3,0,3
1212,40,40-50,No,0,Travel_Frequently,1184,Sales,2,4,Medical,2,Male,62,3,2,Sales Executive,2,Married,4327,Low,25440,5,No,0,12,3,4,3,5,3-5,2,3,0,0,0,0
1215,50,50+,No,0,Travel_Frequently,1421,Research & Development,2,3,Medical,4,Female,30,3,4,Manager,1,Married,17856,High,9490,2,No,0,22,4,3,1,32,10+,3,3,2,2,2,2
1216,28,20-30,No,0,Travel_Rarely,1179,Research & Development,19,4,Medical,4,Male,78,2,1,Laboratory Technician,1,Married,3196,Low,12449,1,No,0,12,3,3,3,6,6-10,2,3,6,5,3,3
1217,46,40-50,No,0,Travel_Rarely,1450,Research & Development,15,2,Life Sciences,4,Male,52,3,5,Research Director,2,Married,19081,High,10849,5,No,0,11,3,1,1,25,10+,2,3,4,2,0,3
1218,35,30-40,No,0,Travel_Rarely,1361,Sales,17,4,Life Sciences,3,Male,94,3,2,Sales Executive,1,Married,8966,Medium,21026,3,Yes,1,15,3,4,3,15,10+,2,3,7,7,1,7
1219,24,20-30,Yes,1,Travel_Rarely,984,Research & Development,17,2,Life Sciences,4,Female,97,3,1,Laboratory Technician,2,Married,2210,Low,3372,1,No,0,13,3,1,1,1,0-2,3,1,1,0,0,0
1220,33,30-40,No,0,Travel_Frequently,1146,Sales,25,3,Medical,2,Female,82,3,2,Sales Executive,3,Married,4539,Low,4905,1,No,0,12,3,1,1,10,6-10,3,2,10,7,0,1
1221,36,30-40,No,0,Travel_Rarely,917,Research & Development,6,4,Life Sciences,3,Male,60,1,1,Laboratory Technician,3,Divorced,2741,Low,6865,1,No,0,14,3,3,1,7,6-10,4,3,7,7,1,7
1224,30,30-40,No,0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,Low,11309,1,No,0,13,3,1,3,10,6-10,4,2,10,7,8,9
1225,44,40-50,No,0,Travel_Rarely,200,Research & Development,29,4,Other,4,Male,32,3,2,Research Scientist,4,Single,4541,Low,7744,1,No,0,25,4,2,0,20,10+,3,3,20,11,13,17
1226,20,20-30,No,0,Travel_Rarely,654,Sales,21,3,Marketing,3,Male,43,4,1,Sales Representative,4,Single,2678,Low,5050,1,No,0,17,3,4,0,2,0-2,2,3,2,1,2,2
1228,46,40-50,No,0,Travel_Rarely,150,Research & Development,2,4,Technical Degree,4,Male,60,3,2,Manufacturing Director,4,Divorced,7379,Medium,17433,2,No,0,11,3,3,1,12,10+,3,2,6,3,1,4
1231,42,40-50,No,0,Non-Travel,179,Human Resources,2,5,Medical,4,Male,79,4,2,Human Resources,1,Married,6272,Medium,12858,7,No,0,16,3,1,1,10,6-10,3,4,4,3,0,3
1233,60,50+,No,0,Travel_Rarely,696,Sales,7,4,Marketing,2,Male,52,4,2,Sales Executive,4,Divorced,5220,Medium,10893,0,Yes,1,18,3,2,1,12,10+,3,3,11,7,1,9
1234,32,30-40,No,0,Travel_Frequently,116,Research & Development,13,3,Other,3,Female,77,2,1,Laboratory Technician,2,Married,2743,Low,7331,1,No,0,20,4,3,1,2,0-2,2,3,2,2,2,2
1235,32,30-40,No,0,Travel_Frequently,1316,Research & Development,2,2,Life Sciences,4,Female,38,3,2,Research Scientist,3,Single,4998,Low,2338,4,Yes,1,14,3,4,0,10,6-10,2,3,8,7,0,7
1237,36,30-40,No,0,Travel_Rarely,363,Research & Development,1,3,Technical Degree,3,Female,77,1,3,Manufacturing Director,1,Divorced,10252,High,4235,2,Yes,1,21,4,3,1,17,10+,2,3,7,7,7,7
1238,33,30-40,No,0,Travel_Rarely,117,Research & Development,9,3,Medical,1,Male,60,3,1,Research Scientist,4,Married,2781,Low,6311,0,No,0,13,3,2,1,15,10+,5,3,14,10,4,10
1239,40,40-50,No,0,Travel_Rarely,107,Sales,10,3,Technical Degree,2,Female,84,2,2,Sales Executive,2,Divorced,6852,Medium,11591,7,No,0,12,3,2,1,7,6-10,2,4,5,1,1,3
1240,25,20-30,No,0,Travel_Rarely,1356,Sales,10,4,Life Sciences,3,Male,57,3,2,Sales Executive,4,Single,4950,Low,20623,0,No,0,14,3,2,0,5,3-5,4,3,4,3,1,1
1241,30,30-40,No,0,Travel_Rarely,1465,Research & Development,1,3,Medical,4,Male,63,3,1,Research Scientist,2,Married,3579,Low,9369,0,Yes,1,21,4,1,1,12,10+,2,3,11,9,5,7
1242,42,40-50,No,0,Travel_Frequently,458,Research & Development,26,5,Medical,1,Female,60,3,3,Research Director,1,Married,13191,High,23281,3,Yes,1,17,3,3,0,20,10+,6,3,1,0,0,0
1243,35,30-40,No,0,Non-Travel,1212,Sales,8,2,Marketing,3,Female,78,2,3,Sales Executive,4,Married,10377,High,13755,4,Yes,1,11,3,2,1,16,10+,6,2,13,2,4,12
1244,27,20-30,No,0,Travel_Rarely,1103,Research & Development,14,3,Life Sciences,1,Male,42,3,1,Research Scientist,1,Married,2235,Low,14377,1,Yes,1,14,3,4,2,9,6-10,3,2,9,7,6,8
1245,54,50+,No,0,Travel_Frequently,966,Research & Development,1,4,Life Sciences,4,Female,53,3,3,Manufacturing Director,3,Divorced,10502,High,9659,7,No,0,17,3,1,1,33,10+,2,1,5,4,1,4
1246,44,40-50,No,0,Travel_Rarely,1117,Research & Development,2,1,Life Sciences,1,Female,72,4,1,Research Scientist,4,Married,2011,Low,19982,1,No,0,13,3,4,1,10,6-10,5,3,10,5,7,7
1248,19,20-30,Yes,1,Non-Travel,504,Research & Development,10,3,Medical,1,Female,96,2,1,Research Scientist,2,Single,1859,Low,6148,1,Yes,1,25,4,2,0,1,0-2,2,4,1,1,0,0
1249,29,20-30,No,0,Travel_Rarely,1010,Research & Development,1,3,Life Sciences,1,Female,97,3,1,Research Scientist,4,Divorced,3760,Low,5598,1,No,0,15,3,1,3,3,3-5,5,3,3,2,1,2
1250,54,50+,No,0,Travel_Rarely,685,Research & Development,3,3,Life Sciences,4,Male,85,3,4,Research Director,4,Married,17779,High,23474,3,No,0,14,3,1,0,36,10+,2,3,10,9,0,9
1251,31,30-40,No,0,Travel_Rarely,1332,Research & Development,11,2,Medical,3,Male,80,3,2,Healthcare Representative,1,Married,6833,Medium,17089,1,Yes,1,12,3,4,0,6,6-10,2,2,6,5,0,1
1252,31,30-40,No,0,Travel_Rarely,1062,Research & Development,24,3,Medical,3,Female,96,2,2,Healthcare Representative,1,Single,6812,Medium,17198,1,No,0,19,3,2,0,10,6-10,2,3,10,9,1,8
